idade,sexo,estado_civil,escola,Qte_dependentes,tempo_ultimoservico,trabalha,vl_salario_mil,reg_moradia,casa_propria,vl_imovel_em_mil,Qte_cartoes,Qte_carros,SCORE_REAL,PREVISAO_Regressão Linear,PREVISAO_Árvore de Decisão,PREVISAO_Random Forest
55,0,1,4,3,34,1,20.995561481916,3,1,280,1,1,372.0,421.00989717503523,407.77532467532467,435.55796423348767
65,0,0,2,0,54,1,109.047841724745,3,1,160,1,0,519.0,468.9215455118368,507.95405405405404,479.8732040667534
47,1,1,4,3,33,1,130.88767091652,5,0,0,1,0,443.0,452.66600695732666,485.2121212121212,534.8988382268242
53,1,3,2,0,39,1,137.983812020172,1,1,483,2,0,631.8,561.4014984065407,603.22,615.3666012021032
53,0,0,0,2,37,1,97.8000077457,1,1,231,1,1,306.0,474.0799372726975,497.28352745424286,471.0627641053376
52,0,0,4,3,40,1,18.336472768128,4,0,0,1,1,418.0,491.9389522895826,369.93939393939394,385.55536449949784
57,0,0,2,2,38,1,20.356287491898,3,1,220,1,1,422.0,411.3370252433194,425.03000000000003,423.2352433404385
50,0,2,2,2,40,1,24.20521056333,5,0,0,1,0,597.0,417.27221801668446,450.4853146853148,464.8463852606999
39,0,3,2,0,35,1,104.089788576882,5,0,0,3,1,694.8,648.3691090710736,673.5827586206897,593.7367675875104
43,1,0,4,3,30,1,135.1022612082,6,0,0,1,0,610.0,435.19125499193166,564.5574074074075,553.1263548200819
43,1,0,2,3,32,1,121.81531267048,4,0,0,1,0,324.0,443.327813371336,485.2121212121212,477.64517349364536
26,0,3,3,0,11,1,53.5417577602866,4,1,237,1,0,193.5,247.67793842040663,220.2222222222222,280.4319181901385
53,0,3,4,0,36,1,23.0693649871154,4,0,0,1,1,493.2,453.53587815993876,497.28352745424286,501.2623349641287
51,1,0,0,2,43,1,196.744667543142,5,0,0,1,1,505.05,588.8272395233269,586.8455737704917,563.1015035634161
36,0,0,3,3,35,1,16.5608026547616,6,0,0,1,0,293.0,402.9296926957675,344.9574074074074,328.1652222677192
62,0,0,2,0,48,0,0.0,3,1,286,1,1,414.4,410.1545898601595,475.68,398.31639511608006
38,0,3,3,0,24,1,17.9489829974472,5,0,0,1,0,306.0,327.08562682721373,253.80000000000004,308.1410731330723
40,1,3,2,0,34,1,119.8341169473,1,1,273,1,0,346.5,418.5830497813084,422.4763636363636,407.9151563380129
49,1,3,1,0,34,1,191.239500435496,5,0,0,1,0,538.2,467.7731106244676,506.254597122302,451.674815474333
52,1,0,4,1,35,1,133.51779994568,6,0,0,2,0,547.0,508.07701145368827,603.22,573.4140576200172
42,0,3,1,0,25,1,27.4420234784503,3,0,0,1,1,462.6,401.3341352566331,426.8409395973154,423.49672954568604
48,0,3,2,1,38,1,23.7550851130896,3,0,0,1,1,486.9,477.7517347771747,497.28352745424286,497.7026783141649
50,0,2,1,5,42,0,0.0,5,0,0,1,0,244.0,387.5374920929361,344.9574074074074,370.67389031019246
42,0,1,1,4,22,1,22.0539708163404,6,0,0,1,0,353.0,322.0612641596247,375.7111111111111,393.3277891973526
49,1,3,0,0,39,1,195.343023241648,5,0,0,1,1,638.82,556.7835800234335,586.8455737704917,559.2262836584813
49,0,0,4,3,34,1,19.2755030652756,4,0,0,1,0,361.0,400.3795591028359,404.61538461538464,378.59440963976107
52,0,0,2,2,37,1,22.4898667128432,2,1,376,1,1,539.0,456.36344304834523,497.28352745424286,497.17120005412454
47,0,3,4,0,33,1,69.231659222313,5,0,0,1,0,382.5,408.3765433946812,371.3832214765101,404.744315368982
48,0,3,2,1,36,1,21.6712640061302,1,1,384,1,0,369.9,399.54674263746443,450.4853146853148,418.9771204263286
38,1,0,2,1,28,1,89.52440368572,6,0,0,1,1,379.0,436.98274686280433,426.8409395973154,415.17018274347697
49,1,0,1,3,42,1,130.3663543048,6,0,0,1,0,420.0,481.24011565832154,428.29344978165943,493.28315774545655
