ID_CLIENTE,TIPO_FUNCIONARIO,DIA_PAGAMENTO,TIPO_ENVIO_APLICACAO,QUANT_CARTOES_ADICIONAIS,TIPO_ENDERECO_POSTAL,SEXO,ESTADO_CIVIL,QUANT_DEPENDENTES,NIVEL_EDUCACIONAL,ESTADO_NASCIMENTO,CIDADE_NASCIMENTO,NACIONALIDADE,ESTADO_RESIDENCIAL,CIDADE_RESIDENCIAL,BAIRRO_RESIDENCIAL,FLAG_TELEFONE_RESIDENCIAL,CODIGO_AREA_TELEFONE_RESIDENCIAL,TIPO_RESIDENCIA,MESES_RESIDENCIA,FLAG_TELEFONE_MOVEL,FLAG_EMAIL,RENDA_PESSOAL_MENSAL,OUTRAS_RENDAS,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OUTROS_CARTOES,QUANT_CONTAS_BANCARIAS,QUANT_CONTAS_BANCARIAS_ESPECIAIS,VALOR_PATRIMONIO_PESSOAL,QUANT_CARROS,EMPRESA,ESTADO_PROFISSIONAL,CIDADE_PROFISSIONAL,BAIRRO_PROFISSIONAL,FLAG_TELEFONE_PROFISSIONAL,CODIGO_AREA_TELEFONE_PROFISSIONAL,MESES_NO_TRABALHO,CODIGO_PROFISSAO,TIPO_OCUPACAO,CODIGO_PROFISSAO_CONJUGE,NIVEL_EDUCACIONAL_CONJUGE,FLAG_DOCUMENTO_RESIDENCIAL,FLAG_RG,FLAG_CPF,FLAG_COMPROVANTE_RENDA,PRODUTO,FLAG_REGISTRO_ACSP,IDADE,CEP_RESIDENCIAL,CEP_RESIDENCIAL_3,ROTULO_ALVO_MAU
6,C,10,0,0,1,M,2,0,0,MG,CARMO DO RIO CLARO,1,MG,ALFENAS,Campos Eliseos,Y,33,1.0,4.0,N,1,500.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MG,ALFENAS,JARDIM SAO CARLOS,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,40,371,371,1
10,C,5,0,0,1,F,1,0,0,RS,SANTA MARIA,1,RS,PORTO ALEGRE,BOM JESUS,Y,54,1.0,5.0,N,1,1507.0,0.0,1,1,0,0,0,1,1,0.0,1,Y,RS,PORTO ALEGRE,MENINO DEUS,Y,54,0,9.0,2.0,11.0,0.0,0,0,0,0,1,N,41,914,914,0
14,C,25,0,0,1,F,2,2,0,PE,CANAIBA,1,SP,Guarulhos,Cidade Martins,Y,5,1.0,12.0,N,1,607.0,0.0,0,0,0,0,0,0,0,0.0,1,Y,SP,GRS,JD STA EMILIA,Y,5,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,36,713,713,0
18,C,10,0,0,1,F,1,0,0,RJ,RIO DE JANEIRO,1,RJ,MENDES,HUMBERTO ANTUNES,Y,24,1.0,25.0,N,1,457.0,134.0,0,0,0,0,0,0,0,50000.0,1,Y,RJ,MENDES,CENTRO,Y,24,0,13.0,2.0,0.0,0.0,0,0,0,0,1,N,32,267,267,0
25,C,10,0,0,1,F,5,0,0,PB,JOAO PESSOA,1,PB,JOAO PESSOA,MANDACARU,Y,103,1.0,3.0,N,0,865.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PB,JOAO PESSOA,CENTRO,Y,103,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,47,580,580,0
30,C,15,0,0,1,M,2,0,0, , ,0,CE,CAUCAIA,ITAMBE,Y,107,2.0,0.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,CAUCAIA,VILA GOES,Y,107,0,11.0,2.0,11.0,0.0,0,0,0,0,1,N,58,616,616,0
32,C,25,0,0,1,F,1,1,0,BA,SOUTO SOARES,1,SP,SAO PAULO,PARQUE FERNANDA,Y,5,1.0,2.0,N,1,387.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,Sao Bernardo do Campo,Pauliceia,Y,5,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,45,586,586,1
54,C,10,Web,0,1,M,2,0,0,MG,carangola,1,ES,DORES DO RIO PRETO,CIDADE ALTA,Y,27,1.0,0.0,N,1,880.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,ES,dores do rio preto,centro,N, ,0,9.0,2.0,9.0,4.0,0,0,0,0,1,N,21,295,295,0
64,C,10,0,0,1,F,2,1,0,BA,FEIRA DE SANTANA,1,BA,FEIRA DE SATANA,RUA NOVA,Y,86,1.0,30.0,N,0,1377.0,611.0,0,0,0,0,0,0,0,50000.0,1,Y,BA,FEIRA DE SANTANA,CENTRO,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,7,N,55,440,440,0
90,C,10,0,0,1,M,2,0,0,SC,CHAPECO,1,PR,Guarapuava,Morro alto,N, ,2.0,2.0,N,1,454.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PR,Guarapuava,Centro,N, ,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,62,850,850,0
